train/dataset00/scan_000_datamap.png,571,266,869,554,plate
train/dataset00/scan_000_datamap.png,679,677,940,999,plate
train/dataset00/scan_000_datamap.png,805,937,1044,1172,plate
train/dataset00/scan_000_datamap.png,1120,879,1466,1201,plate
train/dataset00/scan_000_datamap.png,802,1143,1033,1456,plate
train/dataset00/scan_000_datamap.png,897,181,1182,478,plate
train/dataset00/scan_000_datamap.png,958,422,1238,664,plate
train/dataset00/scan_000_datamap.png,739,396,992,699,plate
train/dataset00/scan_000_datamap.png,958,626,1227,952,plate
train/dataset00/scan_001_datamap.png,1225,415,1470,653,plate
train/dataset00/scan_001_datamap.png,858,484,1106,694,plate
train/dataset00/scan_001_datamap.png,695,582,896,765,plate
train/dataset00/scan_001_datamap.png,668,838,932,1119,plate
train/dataset00/scan_001_datamap.png,495,569,737,755,plate
train/dataset00/scan_001_datamap.png,1272,670,1536,906,plate
train/dataset00/scan_001_datamap.png,1115,709,1318,946,plate
train/dataset00/scan_001_datamap.png,1092,541,1351,736,plate
train/dataset00/scan_001_datamap.png,876,709,1145,921,plate
train/dataset00/scan_002_datamap.png,1205,1025,1549,1364,plate
train/dataset00/scan_002_datamap.png,1023,364,1272,583,plate
train/dataset00/scan_002_datamap.png,587,331,943,655,plate
train/dataset00/scan_002_datamap.png,1039,83,1274,387,plate
train/dataset00/scan_002_datamap.png,849,1045,1163,1429,plate
train/dataset00/scan_002_datamap.png,1072,838,1352,1192,plate
train/dataset00/scan_002_datamap.png,827,566,1099,884,plate
train/dataset00/scan_003_datamap.png,553,853,790,1080,plate
train/dataset00/scan_003_datamap.png,1141,796,1338,1011,plate
train/dataset00/scan_003_datamap.png,1164,468,1418,732,plate
train/dataset00/scan_003_datamap.png,1298,833,1538,1049,plate
train/dataset00/scan_003_datamap.png,550,580,824,797,plate
train/dataset00/scan_003_datamap.png,700,785,943,972,plate
train/dataset00/scan_003_datamap.png,959,629,1192,817,plate
train/dataset00/scan_004_datamap.png,1009,1161,1259,1501,plate
train/dataset00/scan_004_datamap.png,1119,431,1450,701,plate
train/dataset00/scan_004_datamap.png,784,269,1052,554,plate
train/dataset00/scan_004_datamap.png,1220,216,1553,534,plate
train/dataset00/scan_004_datamap.png,926,880,1242,1205,plate
train/dataset00/scan_005_datamap.png,735,1179,1107,1543,plate
train/dataset00/scan_005_datamap.png,1197,494,1598,803,plate
train/dataset00/scan_005_datamap.png,916,215,1202,555,plate
train/dataset00/scan_005_datamap.png,1366,312,1785,673,plate
train/dataset00/scan_005_datamap.png,746,874,1176,1277,plate
